Date,Lake,Site,Lat,Long,Cyclops abyssorum (adults + copepodites I-V) ind/L,Cyclopidae nauplii ind/L,Cyclops vicinus (adults + copepodites I-V) ind/L,Copedods - Misc. ind/l,Eudiaptomus gracilis (adults + copepodites I-V) ind/L,Eudiaptomus nauplii ind/L,Daphnia hyalina ind/L,Bosmina longirostris ind/L,Bythotrephes longimanus ind/L,Leptodora kindtii ind/L,Chydoridae ind/L,Cyclopidae (total no. of Cyclopidae adults & copepodites I-V incl. C.abyssorum & C.vicinus) ind/L,Polyphemus pediculus ind/L,Ceriodaphnia sp. ind/L,Sampling method
10/12/1980,Loch Leven,Reed Bower,56.193745,-3.395932,10.72,#N/A,#N/A,#N/A,5.64,#N/A,8.47,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
16/12/1980,Loch Leven,Reed Bower,56.193745,-3.395932,4.31,#N/A,#N/A,#N/A,2.12,#N/A,4.86,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
6/1/1981,Loch Leven,Reed Bower,56.193745,-3.395932,2.2,1.69,#N/A,#N/A,1.6,0.05,2.18,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
21/1/1981,Loch Leven,Reed Bower,56.193745,-3.395932,1.08,2.68,#N/A,#N/A,1.13,0.65,1.72,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
3/2/1981,Loch Leven,Reed Bower,56.193745,-3.395932,3.06,2.5,#N/A,#N/A,1.74,0.13,1.61,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
10/2/1981,Loch Leven,Reed Bower,56.193745,-3.395932,2.73,9,#N/A,#N/A,1.48,0.52,2.48,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
17/2/1981,Loch Leven,Reed Bower,56.193745,-3.395932,4.68,8.63,#N/A,#N/A,1.95,0.42,0.81,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
24/2/1981,Loch Leven,Reed Bower,56.193745,-3.395932,2.44,6.04,#N/A,#N/A,1.48,0.74,1.06,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
3/3/1981,Loch Leven,Reed Bower,56.193745,-3.395932,8.35,6.98,#N/A,#N/A,2.63,0.43,3.5,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
10/3/1981,Loch Leven,Reed Bower,56.193745,-3.395932,9.67,6.67,#N/A,#N/A,1.36,0.45,2.78,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
17/3/1981,Loch Leven,Reed Bower,56.193745,-3.395932,11.42,5.28,#N/A,#N/A,1.15,0.91,3.17,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
27/3/1981,Loch Leven,Reed Bower,56.193745,-3.395932,9.92,9.76,#N/A,#N/A,1.03,1.01,3.8,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
31/3/1981,Loch Leven,Reed Bower,56.193745,-3.395932,11.43,9.75,#N/A,#N/A,0.63,1.48,2.8,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
7/4/1981,Loch Leven,Reed Bower,56.193745,-3.395932,15.54,28.93,#N/A,#N/A,2.24,3.71,6.7,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
14/4/1981,Loch Leven,Reed Bower,56.193745,-3.395932,30.61,44.34,#N/A,#N/A,1.97,2.6,6.3,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
21/4/1981,Loch Leven,Reed Bower,56.193745,-3.395932,51.85,41.41,#N/A,#N/A,6.1,1.59,30.3,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
28/4/1981,Loch Leven,Reed Bower,56.193745,-3.395932,54.4,24.99,#N/A,#N/A,6.63,1.27,36.5,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
5/5/1981,Loch Leven,Reed Bower,56.193745,-3.395932,37.38,15.33,#N/A,#N/A,7.59,1.75,23.65,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
12/5/1981,Loch Leven,Reed Bower,56.193745,-3.395932,16.93,2.7,#N/A,#N/A,3.1,1.86,52.48,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
19/5/1981,Loch Leven,Reed Bower,56.193745,-3.395932,21.18,34.75,#N/A,#N/A,3.39,1.27,30.08,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
26/5/1981,Loch Leven,Reed Bower,56.193745,-3.395932,27.94,78.19,#N/A,#N/A,5.26,1.7,8.12,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
2/6/1981,Loch Leven,Reed Bower,56.193745,-3.395932,43.64,42.37,#N/A,#N/A,5.92,1.27,21.19,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
9/6/1981,Loch Leven,Reed Bower,56.193745,-3.395932,33.73,19.47,#N/A,#N/A,6.56,1.22,8.01,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
16/6/1981,Loch Leven,Reed Bower,56.193745,-3.395932,20.07,0.06,#N/A,#N/A,4.19,0,1.81,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
23/6/1981,Loch Leven,Reed Bower,56.193745,-3.395932,17.18,10.82,#N/A,#N/A,5.63,3.16,3.92,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
30/6/1981,Loch Leven,Reed Bower,56.193745,-3.395932,14.11,5.52,#N/A,#N/A,6,2.68,1.67,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
7/7/1981,Loch Leven,Reed Bower,56.193745,-3.395932,3.82,3.16,#N/A,#N/A,3.36,1.11,1.84,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
15/7/1981,Loch Leven,Reed Bower,56.193745,-3.395932,1.88,2.36,#N/A,#N/A,2.84,0.8,1.09,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
21/7/1981,Loch Leven,Reed Bower,56.193745,-3.395932,2.45,2.2,#N/A,#N/A,3.94,1.97,1.12,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
28/7/1981,Loch Leven,Reed Bower,56.193745,-3.395932,1.68,0.93,#N/A,#N/A,2.79,0.25,1.43,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
3/8/1981,Loch Leven,Reed Bower,56.193745,-3.395932,1.65,1.1,#N/A,#N/A,3.99,1.06,1.31,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
11/8/1981,Loch Leven,Reed Bower,56.193745,-3.395932,0.73,1.53,#N/A,#N/A,4.39,2.2,1.2,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
25/8/1981,Loch Leven,Reed Bower,56.193745,-3.395932,0.65,0.23,#N/A,#N/A,5.15,0.64,2.6,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
1/9/1981,Loch Leven,Reed Bower,56.193745,-3.395932,0.41,0.12,#N/A,#N/A,7.56,0.4,1.7,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
8/9/1981,Loch Leven,Reed Bower,56.193745,-3.395932,2.5,0.83,#N/A,#N/A,10.95,1.47,1.06,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
15/9/1981,Loch Leven,Reed Bower,56.193745,-3.395932,2.52,0.28,#N/A,#N/A,7.41,0.21,1.58,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
29/9/1981,Loch Leven,Reed Bower,56.193745,-3.395932,0.94,0.82,#N/A,#N/A,3.02,0.22,1.57,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
6/10/1981,Loch Leven,Reed Bower,56.193745,-3.395932,1.22,3.03,#N/A,#N/A,2.68,0.63,1.21,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
13/10/1981,Loch Leven,Reed Bower,56.193745,-3.395932,4.73,0.77,#N/A,#N/A,4.84,0.38,2.24,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
20/10/1981,Loch Leven,Reed Bower,56.193745,-3.395932,2.55,2.12,#N/A,#N/A,3.69,0.24,1.56,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
27/10/1981,Loch Leven,Reed Bower,56.193745,-3.395932,2.97,14.41,#N/A,#N/A,6.57,2.54,4.87,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
5/11/1981,Loch Leven,Reed Bower,56.193745,-3.395932,11.98,13.62,#N/A,#N/A,4.14,1.15,6.59,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
17/11/1981,Loch Leven,Reed Bower,56.193745,-3.395932,12.51,18.01,#N/A,#N/A,3.82,0.64,5.93,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
1/12/1981,Loch Leven,Reed Bower,56.193745,-3.395932,20.32,35.45,#N/A,#N/A,3.96,1.21,8.77,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
29/12/1981,Loch Leven,Reed Bower,56.193745,-3.395932,23.92,0.21,#N/A,#N/A,0.84,0,0.42,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
12/1/1982,Loch Leven,Reed Bower,56.193745,-3.395932,16.18,20.76,#N/A,#N/A,1.25,0,0.95,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
27/1/1982,Loch Leven,Reed Bower,56.193745,-3.395932,2.38,5.28,#N/A,#N/A,0.67,0.01,0.71,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
2/2/1982,Loch Leven,Reed Bower,56.193745,-3.395932,14.53,10.1,#N/A,#N/A,1.34,0.12,2.17,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
16/2/1982,Loch Leven,Reed Bower,56.193745,-3.395932,7.2,16.95,#N/A,#N/A,0.21,0,1.06,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
4/3/1982,Loch Leven,Reed Bower,56.193745,-3.395932,16.89,15.62,#N/A,#N/A,1.38,0.68,1.23,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
16/3/1982,Loch Leven,Reed Bower,56.193745,-3.395932,3.7,3,#N/A,#N/A,0.05,0,0.4,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
31/3/1982,Loch Leven,Reed Bower,56.193745,-3.395932,26.83,46.03,#N/A,#N/A,1.44,0.48,5.59,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
14/4/1982,Loch Leven,Reed Bower,56.193745,-3.395932,10.3,0.2,#N/A,#N/A,0,0,2.2,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
27/4/1982,Loch Leven,Reed Bower,56.193745,-3.395932,47.27,90.9,#N/A,#N/A,4.05,0.61,15.36,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
12/5/1982,Loch Leven,Reed Bower,56.193745,-3.395932,51.13,7.88,#N/A,#N/A,4.08,1.27,46.16,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
19/5/1982,Loch Leven,Reed Bower,56.193745,-3.395932,20.87,54.17,#N/A,#N/A,4.66,1.78,22.89,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
26/5/1982,Loch Leven,Reed Bower,56.193745,-3.395932,18.65,76.27,#N/A,#N/A,7.62,0.85,19.07,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
2/6/1982,Loch Leven,Reed Bower,56.193745,-3.395932,31.12,64.27,#N/A,#N/A,6.95,0.51,54.39,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
