Expr1,month,year,RB5 ChlA,RB5 Cond,RB5 DO,RB5 NH4,RB5 NO2,RB5 NO3,RB5 pH,RB5 PP,RB5 PSiO2,RB5 SD,RB5 SRP,RB5 SRSi,RB5 SURP,RB5 Temp,RB5 TON,RB5 TP,RB5 TSi,RB5 TSP,Sl8 ChlA,Sl8 Cond,Sl8 DO,Sl8 NH4,Sl8 NO2,Sl8 NO3,Sl8 pH,Sl8 PP,Sl8 PSiO2,Sl8 SD,Sl8 SRP,Sl8 SRSi,Sl8 SURP,Sl8 Temp,Sl8 TON,Sl8 TP,Sl8 TSi,Sl8 TSP,Sl8 TSSiO2,Uns ChlA,Uns NO3,Uns SRP,Uns SRSi,Uns TP
19/4/2012,,,,,,,,,,,,,,,,,,,,,6.21,,,,,,,,,,6.72,,,,,31.62,,10.94,,,,,,
1/5/2012,,,5.35,,,,,,,,,,7.69,1.67,,,,30.7,1.41,12.82,4.85,,,,,,,,,,7,0.89,,,,32.62,,11.9,,,,,,
15/5/2012,,,9.08,,,,,,,,,,5.39,0.72,,,,28.78,0.63,12.32,10.74,,,,,,,,,,5.15,-0.15,,,,29.4,,10.48,,,,,,
29/5/2012,,,4.75,,,,,,,,,,0.22,0.73,,,,26.61,0.48,10.61,5.13,,,,,,,,,,1.47,0.19,,,,23.69,,10.98,,,,,,
25/6/2012,,,16.69,,,,,,,,,,3.97,2.1,,,,29.13,2.15,8.89,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2012,,,15.07,,,,,,,,,,4.93,3.3,,,,34.01,3.41,11.57,13.8,,,,,,,,,,3.74,2.31,,,,22.93,,8.53,,,,,,
24/7/2012,,,31.31,,,,,,,,,,3.74,1.56,,,,29.05,2.31,8.97,23.78,,,,,,,,,,3.92,0.7,,,,24.21,,10.85,,,,,,
7/8/2012,,,18.53,,,,,,,,,,3.14,1.31,,,,28.73,1.45,9.01,19.88,,,,,,,,,,2.84,0.45,,,,20.93,,8.01,,,,,,
21/8/2012,,,37.52,,,,,,,,,,3.03,1.19,,,,36.49,1.66,8.85,44.63,,,,,,,,,,3.66,0.32,,,,35.01,,12.81,,,,,,
4/9/2012,,,53.11,,,,,,,,,,7.03,0.26,,,,43.29,1.71,17.84,63.72,,,,,,,,,,4.82,0.59,,,,58.25,,20.15,,,,,,
18/9/2012,,,36.5,,,,,,,,,,3.29,0.64,,,,42.65,1.46,10.29,29.96,,,,,,,,,,3.51,0.34,,,,36.61,,11.01,,,,,,
2/10/2012,,,52.67,,,,,,,,,,4.48,1.23,,,,41.37,0.95,9.53,46.11,,,,,,,,,,3.92,1.15,,,,34.13,,10.73,,,,,,
16/10/2012,,,32.91,,,,,,,,,,4.15,1.73,,,,35.17,1.87,12.29,22.38,,,,,,,,,,3.62,0.64,,,,28.61,,8.89,,,,,,
1/11/2012,,,36.41,,,,,,,,,,3.55,0.71,,,,32.69,2.7,12.13,34.29,,,,,,,,,,3.25,0.72,,,,26.57,2.94,9.01,,,,,,
13/11/2012,,,32.56,,,,,,,,,,5.9,0.59,,,,33.65,2.79,13.65,31.79,,,,,,,,,,5.34,0.23,,,,27.57,2.29,13.77,,,,,,
27/11/2012,,,41.01,,,,,,,,,,5.57,0.37,,,,44.05,3.07,14.17,36.42,,,,,,,,,,5.53,1.63,,,,34.33,3.14,13.85,,,,,,
11/12/2012,,,39.02,,,,,,,,,,24.07,2.46,,,,44.05,4.82,,33.97,,,,,,,,,,13.83,2.6,,,,35.13,4.79,,,,,,,
8/1/2013,,,44.2,,,,,,,,,,16.72,2.08,,,,48.94,5.53,,42.21,,,,,,,,,,14.05,3.48,,,,41.5,5.85,,,,,,,
24/1/2013,,,39.8,,,,,,,,,,16.43,,,,,37.01,,,41.15,,,,,,,,,,12.06,0.41,,,,30.49,3.72,,,,,,,
5/2/2013,,,42.05,,,,,,,,,,13.91,0.75,,,,54.35,4.74,,39.94,,,,,,,,,,17.69,0.15,,,,44.94,2.02,,,,,,,
19/2/2013,,,13.26,,,,,,,,,,26.66,0.1,,,,38.1,2.45,,37.38,,,,,,,,,,10.99,0.05,,,,29.89,2.23,,,,,,,
5/3/2013,,,17.21,,,,,,,,,,11.38,,,,,23.11,,,28.51,,,,,,,,,,7.95,0.23,,,,38.9,4.51,5.58,,,,,,
26/3/2013,,,24.58,,,,,,,,,,9.11,0.68,,,,41.79,0.85,8.37,24.08,,,,,,,,,,10.22,0.74,,,,34.35,1.17,5.97,,,,,,
2/4/2013,,,11.75,,,,,,,,,,17.25,1.13,,,,31.88,1.98,7.94,18.94,,,,,,,,,,9.09,1.25,,,,27.51,1.7,7.27,,,,,,
16/4/2013,,,18.41,,,,,,,,,,8.76,1.11,,,,22.63,1.78,7.98,27.64,,,,,,,,,,1.11,1.19,,,,41.76,1.89,6.72,,,,,,
30/4/2013,,,8.17,,,,,,,,,,3.73,1.1,,,,30.19,1.41,10.35,6.39,,,,,,,,,,11.38,1.51,,,,21.67,2.05,9.94,,,,,,
14/5/2013,,,10.24,,,,,,,,,,10.11,1.14,,,,27.1,1.81,13.1,8.71,,,,,,,,,,5.73,0.86,,,,21.92,1.18,8.91,,,,,,
28/5/2013,,,14.77,,,,,,,,,,6.26,0.8,,,,26.6,0.84,11.59,17.23,,,,,,,,,,2.02,0.85,,,,27.45,0.86,10.06,,,,,,
