Expr1,month,year,RB5 ChlA,RB5 Cond,RB5 DO,RB5 NH4,RB5 NO2,RB5 NO3,RB5 pH,RB5 PP,RB5 PSiO2,RB5 SD,RB5 SRP,RB5 SRSi,RB5 SURP,RB5 Temp,RB5 TON,RB5 TP,RB5 TSi,RB5 TSP,Sl8 ChlA,Sl8 Cond,Sl8 DO,Sl8 NH4,Sl8 NO2,Sl8 NO3,Sl8 pH,Sl8 PP,Sl8 PSiO2,Sl8 SD,Sl8 SRP,Sl8 SRSi,Sl8 SURP,Sl8 Temp,Sl8 TON,Sl8 TP,Sl8 TSi,Sl8 TSP,Sl8 TSSiO2,Uns ChlA,Uns NO3,Uns SRP,Uns SRSi,Uns TP
10/2/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,2.36,30,9.6,
13/2/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,2.35,24,8.55,
17/2/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,2.26,11,8,
20/2/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,2.25,5.5,7.6,
24/2/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1,2.24,,6.7,
3/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.9,2.25,4,5.15,
6/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.3,1.98,3,4.4,
10/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.6,1.86,5,2.3,
13/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.6,1.92,6,1.2,
17/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8,1.77,4,0.2,
20/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.1,2.45,1,0.4,
24/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.6,2.29,4.5,0.2,
27/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4,2.25,1.5,0.1,
31/3/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,0.92,4,0.2,
7/4/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,1.65,3.5,0.2,
10/4/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,1.4,3.5,0.25,
14/4/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,1.48,3.5,0.6,
21/4/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,1.71,1.5,0.6,
28/4/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.16,4.5,0.6,
5/5/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.46,1.5,1.51,
12/5/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,1.4,2,1.41,
19/5/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,1.23,4,1.35,
26/5/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,1.01,3,1.39,
2/6/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,0.91,,1.51,
9/6/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,0.67,2,2.68,
16/6/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,
23/6/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,0.2,3,1.01,
30/6/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,0.11,3,0.87,
7/7/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,0.04,2.5,0.37,
15/7/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,0.01,2,0.38,
21/7/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,0.02,3.5,0.32,
28/7/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,0.02,3,0.18,
3/8/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,0.04,7,0.21,
11/8/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,0.2,12.5,0.44,
25/8/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,0.02,21.5,0.4,
1/9/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,0.01,12.5,,
8/9/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,0.02,34.5,1.32,
15/9/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,0.06,48,1.65,
29/9/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,0.18,16,3.62,
6/10/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,0.51,18,3.99,
13/10/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,0.56,10.5,4.32,
20/10/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,0.49,12.5,4.17,
27/10/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,0.45,6.5,3.49,
5/11/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.48,4,2.87,
17/11/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,0.63,4,2.32,
1/12/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,0.95,2,2.36,
15/12/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,1.17,3,2.45,
29/12/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1.19,3,2.59,34
12/1/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.54,,4.99,
19/1/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,29.5,5.78,
27/1/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.34,34,6.38,
3/2/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,1.69,34,5.76,
16/2/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,1.92,24.5,5.97,
4/3/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6,2.39,3,2.28,
9/3/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9,,,,
16/3/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,,6.5,,
24/3/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,
31/3/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,2.37,5,0.04,43.8
14/4/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,2.02,3,1.03,39.6
27/4/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,1.59,4.3,0.41,34
12/5/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1.55,4.5,0.81,40.4
19/5/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1.3,4,0.92,34
26/5/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,1.09,4,1.62,41.4
2/6/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,0.75,5.5,1.88,54.9
9/6/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,0.47,5,3.09,47.4
17/6/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,0.25,7.2,3.91,52.2
23/6/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,0.1,4,3.44,51.9
1/7/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,0.06,1.6,2.56,52.4
6/7/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.06,,2.12,45.2
14/7/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,0.08,2.8,1.84,51.8
20/7/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0.07,3.3,1.19,50.3
27/7/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,0.06,13.6,1.76,71.1
3/8/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,0.08,32,2.15,98.7
10/8/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,0.09,39,3.7,119.4
23/8/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0.12,19.1,1.69,103.7
8/9/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,0.1,11.4,2.21,77.4
14/9/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,0.11,10.2,2,68.2
29/9/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0.25,2.8,3.79,62.6
12/10/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,0.16,2,4.31,59.8
19/10/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,0.34,4.5,4.84,67.8
1/11/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,0.6,2.4,5.78,61.7
8/11/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,1.1,6.1,6.13,79.8
25/11/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,1.11,4.7,6.82,58.6
6/12/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.58,11.6,7.33,51.7
14/12/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,1.34,17.5,6.93,80.2
30/12/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1.73,9.7,7.01,59.1
12/1/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,
13/1/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,2.08,19.4,,66
19/1/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,
20/1/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,2.09,16.8,,70.3
1/2/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,2.18,19.4,7.83,80.3
10/2/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,2.13,14.2,8.25,74.5
22/2/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,2.09,,,
1/3/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,2.11,2.1,6.48,61.7
8/3/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,2.35,1.6,5.88,54.3
16/3/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,1.75,0.8,3.15,68.4
22/3/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7,2.13,2.8,3.66,162.3
29/3/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,1.49,0.8,1.95,61.3
7/4/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1.31,0.4,0.12,50
18/4/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,1.14,0.9,0.02,48.6
26/4/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,1.07,2.8,,75
5/5/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0.72,2,0.11,64.5
17/5/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,0.56,2,0.05,62.3
26/5/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,0.41,1.2,0.38,49.3
9/6/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,0.63,,1.49,50
29/6/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,0.33,1.6,1.96,67.6
6/7/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,0.28,3.1,2.89,52.7
21/7/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,10.1,2.75,65.8
10/8/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,0.01,12.9,0.1,66
31/8/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.01,23.7,0.03,90
13/9/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,0.01,9.9,0.28,60.3
27/9/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.01,3.2,1.19,61
6/10/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,0.42,3.3,1.27,55.5
20/10/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,3.8,1.37,60
31/10/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,0.66,8.2,2.33,53.8
10/11/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,9.6,2.06,48.9
23/11/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,0.91,18,2.72,40
1/12/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,19.2,2.82,45.3
19/12/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,1.01,23.2,3.52,51.7
16/2/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,54.6
7/3/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,69
17/12/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,,65.7
3/1/1985,,,,,,,,,,,,,,,,,,,,,3.48,,,,,3.22,,15.1,,,35.4,,7.3,,,57.8,,42.7,,3.5,3.22,35.4,,57.8
11/1/1985,,,,,,,,,,,,,,,,,,,,,4.05,,,,,3.04,,12,,,37.9,,5.2,0.9,,55.1,,43.1,,4.1,3.04,37.9,,55.1
19/1/1985,,,,,,,,,,,,,,,,,,,,,4.86,,,,,3.07,,11.7,,,33.4,7.3,5.6,1.6,,50.7,,39,,4.9,3.07,33.4,7.3,50.7
27/1/1985,,,,,,,,,,,,,,,,,,,,,5.95,,,,,3.08,,13.9,,,35.1,7.9,9.8,0.9,,58.8,,44.9,,5.9,3.08,35.1,7.9,58.8
4/2/1985,,,,,,,,,,,,,,,,,,,,,7.47,,,,,3.45,,19.9,,,25,8,7.8,4.5,,52.7,,32.8,,7.5,3.45,25,8,52.7
12/2/1985,,,,,,,,,,,,,,,,,,,,,17.95,,,,,2.78,,36.9,,,28.6,7.3,11.1,0.7,,76.6,,39.7,,17.9,2.78,28.6,7.3,76.6
20/2/1985,,,,,,,,,,,,,,,,,,,,,30.19,,,,,3.3,,36.1,,,18.5,6.2,8.6,1.8,,63.2,,27.1,,30.2,3.3,18.5,6.2,63.2
28/2/1985,,,,,,,,,,,,,,,,,,,,,28.91,,,,,2.76,,50.1,,,1.9,3.4,7.8,3.5,,59.8,,9.7,,28.9,3,1.9,3.4,59.8
8/3/1985,,,,,,,,,,,,,,,,,,,,,42.05,,,,,3.05,,42.1,,,0.8,0.6,9.2,4.4,,52.1,,10,,42,3.05,0.8,0.6,52.1
16/3/1985,,,,,,,,,,,,,,,,,,,,,23.37,,,,,3.1,,40,,,1.2,0.6,9.6,2.8,,50.8,,10.8,,23.4,3.1,1.2,0.6,50.8
24/3/1985,,,,,,,,,,,,,,,,,,,,,11.86,,,,,2.8,,22.8,,,1.2,0.04,10.4,3.7,,34.4,,11.6,,11.9,2.8,1.2,0.04,34.4
1/4/1985,,,,,,,,,,,,,,,,,,,,,12.64,,,,,2.7,,77.5,,,0.8,0.6,10.8,4.8,,89.1,,11.6,,12.6,2.7,0.8,0.6,89.1
9/4/1985,,,,,,,,,,,,,,,,,,,,,16.2,,,,,2.45,,21.9,,,1.2,0,11.7,6.6,,34.8,,12.9,,16.2,2.45,1.2,,34.8
17/4/1985,,,,,,,,,,,,,,,,,,,,,12.77,,,,,2.85,,23.6,,,0.8,0.3,7.5,,,31.9,,8.3,,12.8,2.85,0.8,0.3,31.9
25/4/1985,,,,,,,,,,,,,,,,,,,,,11.42,,,,,2.65,,35.8,,,0,0,8.7,8.75,,44.5,,8.7,,11.4,2.65,0,,44.5
3/5/1985,,,,,,,,,,,,,,,,,,,,,9.34,,,,,2.7,,36.9,,,1.3,0.5,11.4,9.3,,49.6,,12.7,,9.3,2.7,1.3,0.5,49.6
11/5/1985,,,,,,,,,,,,,,,,,,,,,4,,,,,2.4,,20,,,0.5,0.2,8.3,10.4,,28.8,,8.8,,4,2.4,0.5,0.2,28.8
19/5/1985,,,,,,,,,,,,,,,,,,,,,4.65,,,,,0.85,,26.1,,,0.5,0.5,8.7,10.9,,35.3,,9.2,,4.6,0.85,0.5,0.5,35.3
27/5/1985,,,,,,,,,,,,,,,,,,,,,6.78,,,,,2.2,,23.5,,,5,0.9,11.6,12.2,,40.1,,16.6,,6.8,2.2,5,0.9,40.1
4/6/1985,,,,,,,,,,,,,,,,,,,,,12.68,,,,,2.03,,22.6,,,0.9,1.2,10.1,14.15,,33.6,,11,,12.7,2.03,0.9,1.2,33.6
12/6/1985,,,,,,,,,,,,,,,,,,,,,11.51,,,,,1.58,,23,,,1.3,1.2,9.7,12.7,,34,,11,,11.5,1.58,1.3,1.2,34
20/6/1985,,,,,,,,,,,,,,,,,,,,,12.21,,,,,1.47,,23.4,,,0.9,1.8,7.5,14.2,,31.8,,8.4,,12.2,1.47,0.9,1.8,31.8
28/6/1985,,,,,,,,,,,,,,,,,,,,,14.86,,,,,1.25,,24.9,,,2.2,1.5,10.4,13.6,,37.5,,12.6,,14.9,1.25,2.2,1.5,37.5
6/7/1985,,,,,,,,,,,,,,,,,,,,,27.54,,,,,0.8,,44.2,,,1.8,1.5,13.4,15.9,,59.4,,15.2,,27.5,0.8,1.8,1.5,59.4
14/7/1985,,,,,,,,,,,,,,,,,,,,,16.16,,,,,0.68,,75.8,,,3.4,2,12.6,15,,91.8,,16,,16.2,0.68,3.4,2,91.8
22/7/1985,,,,,,,,,,,,,,,,,,,,,33.58,,,,,0.55,,50.2,,,3.4,1.2,16.1,14.5,,69.7,,19.5,,33.6,0.55,3.4,1.2,69.7
30/7/1985,,,,,,,,,,,,,,,,,,,,,35.58,,,,,0.45,,47.6,,,3.4,0.5,14.4,14,,65.4,,17.8,,35.6,0.45,3.4,0.5,65.4
7/8/1985,,,,,,,,,,,,,,,,,,,,,25.93,,,,,0.9,,39.4,,,2.5,0.2,14.6,14,,56.5,,17.1,,25.9,0.9,2.5,0.2,56.5
15/8/1985,,,,,,,,,,,,,,,,,,,,,30.19,,,,,0.44,,34.1,,,11.2,0.3,14.7,13.5,,60,,25.9,,30.2,0.44,11.2,0.3,60
23/8/1985,,,,,,,,,,,,,,,,,,,,,42.74,,,,,0.64,,45.5,,,13.7,1.3,13.9,13.5,,73.1,,27.6,,42.7,0.64,13.7,1.3,73.1
31/8/1985,,,,,,,,,,,,,,,,,,,,,28.58,,,,,0.58,,97.9,,,19.9,1.4,16.5,13.5,,134.3,,36.4,,28.6,0.58,19.9,1.4,134.3
8/9/1985,,,,,,,,,,,,,,,,,,,,,32.88,,,,,0.74,,104.8,,,3.4,1,12.9,11.3,,121.1,,16.3,,32.9,0.74,3.4,1,121.1
16/9/1985,,,,,,,,,,,,,,,,,,,,,30.49,,,,,0.9,,74.8,,,1.7,0.9,14.1,10.9,,90.6,,15.8,,30.5,0.9,1.7,0.9,90.6
24/9/1985,,,,,,,,,,,,,,,,,,,,,23.24,,,,,0.88,,35.9,,,5.4,0.8,15.2,11,,56.5,,20.6,,23.2,0.88,5.4,0.8,56.6
2/10/1985,,,,,,,,,,,,,,,,,,,,,13.25,,,,,1.02,,23.6,,,9.1,1.3,12.8,13.1,,45.5,,21.9,,13.2,1.02,9.1,1.3,45.5
10/10/1985,,,,,,,,,,,,,,,,,,,,,10.25,,,,,1.29,,43.7,,,17,2.7,11.9,10,,72.6,,28.9,,10.3,1.29,17,2.7,72.6
18/10/1985,,,,,,,,,,,,,,,,,,,,,10.16,,,,,1.27,,70.2,,,18.6,2.8,12.5,10.8,,101.3,,31.1,,10.2,1.27,18.6,2.8,101.3
26/10/1985,,,,,,,,,,,,,,,,,,,,,6.82,,,,,1.16,,27.1,,,20.7,2.9,11.7,9.3,,59.5,,32.4,,6.8,1.16,20.7,2.9,59.5
3/11/1985,,,,,,,,,,,,,,,,,,,,,11.42,,,,,1.19,,31.9,,,14.1,2.8,10.9,5.6,,56.9,,25,,11.4,1.19,14.1,2.8,56.9
11/11/1985,,,,,,,,,,,,,,,,,,,,,16.25,,,,,1.17,,34.1,,,6.2,3.3,10.9,2.4,,51.2,,17.1,,16.2,1.17,6.2,3.3,51.2
19/11/1985,,,,,,,,,,,,,,,,,,,,,19.42,,,,,1.09,,23.6,,,1.7,2.4,9.3,2.4,,34.6,,11,,19.4,1.09,1.7,2.4,34.6
27/11/1985,,,,,,,,,,,,,,,,,,,,,43,,,,,1.16,,70.3,,,2.1,2.6,10.7,0.2,,83.1,,12.8,,43,1.16,2.1,2.6,83.1
5/12/1985,,,,,,,,,,,,,,,,,,,,,49.95,,,,,1.24,,58.9,,,0,1.2,13,4.4,,71.9,,13,,50,1.24,0,1.2,71.9
13/12/1985,,,,,,,,,,,,,,,,,,,,,38.22,,,,,1.81,,56.1,,,4,3.4,12.2,4.6,,72.3,,16.2,,38.2,1.81,4,3.4,72.3
21/12/1985,,,,,,,,,,,,,,,,,,,,,34.06,,,,,1.76,,48.5,,,3.1,3,9,7.5,,60.6,,12.1,,34.1,1.76,3.1,3,60.6
29/12/1985,,,,,,,,,,,,,,,,,,,,,23.2,,,,,1.84,,41.3,,,5.2,3.1,10.5,0.1,,57,,15.7,,23.2,1.84,5.2,3.1,57
6/1/1986,,,,,,,,,,,,,,,,,,,,,24.24,,,,,1.89,,52.1,,,3.5,3,7.7,0.5,,63.3,,11.2,,24.2,1.89,3.5,3,63.3
14/1/1986,,,,,,,,,,,,,,,,,,,,,25.15,,,,,2.09,,78.2,,,10.3,4.8,10.8,2,,99.3,,21.1,,25.2,2.09,10.3,4.8,99.3
22/1/1986,,,,,,,,,,,,,,,,,,,,,37.83,,,,,2.71,,54.8,,,1.5,3,7.5,2.7,,63.8,,9,,37.8,2.71,1.5,3,63.8
30/1/1986,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,47.2,,,0.2,1.8,7.4,1.2,,54.8,,7.6,,,2.02,0.2,,54.8
7/2/1986,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,47.1,,,0.2,1.8,8.8,0.5,,56.1,,9,,,2.18,0.2,,56.1
6/3/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,14,,99.7
7/4/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.2,,39.5
13/1/1988,,,42.3,,,,,,,31.3,,,19.5,5.1,10.4,,,61.2,,29.9,38.5,,,,,,,42.3,,,17,4.7,9.8,,,69.1,,26.8,,38.5,,19.5,5.1,61.2
21/1/1988,,,56.1,,,,,,,38.6,,1.95,15.4,5,9.7,3.7,,63.7,,25.1,64.8,,,,,,8.25,45.2,,,14.1,5,11,2.5,,70.3,,25.1,,64.8,,15.4,5,63.7
29/1/1988,,,,,,,,,,,,,,,,,,,,,60.9,,,,,,8.4,35.9,,,11.6,5,10.8,2.7,,58.3,,22.4,,60.9,,11.6,5,58.3
6/2/1988,,,,,,,,,,,,,,,,,,,,,45.9,,,,,,8.08,48.6,,,6.2,10.5,9,2.5,,63.8,,15.2,,45.9,,6.2,10.5,63.8
12/2/1988,,,76.3,,,,,,,7.3,,1.15,2.6,4.7,4.7,2.5,,14.6,,7.3,33.3,,,,,,,2.2,,,3.9,4.9,8.5,2.2,,14.6,,12.4,,33.3,,2.6,4.7,14.6
22/2/1988,,,,,,,,,,,,,,,,,,,,,36.8,,,,,2.58,8.08,82.1,,,4,5.5,9.9,4.7,,96,,13.9,,36.8,2.58,4,5.5,96
25/2/1988,,,89.7,,,,,2.03,,44.5,,1.25,3.5,2.6,10.2,3.9,,58.2,,13.7,142,,,,,2.18,,43.6,,,3.2,3,9.8,3.3,,56.6,,13,,142,2.03,3.5,3,58.2
1/3/1988,,,,,,,,,,,,,,,,,,,,,49.1,,,,,,,77.2,,,2.9,1.7,10.2,1.2,,90.3,,13.1,,49.1,,2.9,1.7,90.3
9/3/1988,,,,,,,,,,,,,,,,,,,,,43.9,,,,,2.04,,48.5,,,2.7,0.6,10.2,4.5,,61.4,,12.9,,43.9,2.04,2.7,0.6,61.4
17/3/1988,,,36.9,,,,,,,49.3,,0.95,7.8,0,7.1,4,,64.2,,14.9,32.9,,,,,,,43.4,,,6.1,0.1,7.7,4,,57.2,,13.8,,32.9,,7.8,0.1,64.2
25/3/1988,,,,,,,,,,,,,,,,,,,,,37.7,,,,,,,97.4,,,4.8,1.2,11.4,6.5,,113.6,,16.2,,37.7,,4.8,1.2,113.6
2/4/1988,,,37.7,,,,,,,45.4,,,2.8,0,10.2,7,,58.4,,13,36.8,,,,,,8.75,40.8,,,3.2,0.2,10.2,7.7,,54.2,,13.4,,36.8,,2.8,0.2,58.4
10/4/1988,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,8.57,58,,,4.6,0.8,10.6,9.2,,73.2,,15.2,,28.3,,4.6,0.8,73.2
