SPECIES NAME,INFRATAXON,SPECIES ID
OSCILLATORIA,,OA
OSCILLATORIA agardhii,,OAAG
OSCILLATORIA bourrellyi,,OABI
OSCILLATORIA geminata,,OAGA
OSCILLATORIA koeltzii,,OAKI
OSCILLATORIA limnetica,,OALA
OSCILLATORIA mougeotii,,OAMI
OSCILLATORIA redekei,,OARI
OSCILLATORIA rubescens,,OARS
OSCILLATORIA subtilissima,,OASA
OSCILLATORIA,,OAXX
OEDOGONIUM,,OE
OOCYSTIS,,OO
OOCYSTIS lacustris,,OOLS
OOCYSTIS parva,,OOPA
OCHROMONAS,,OS
PRASINOPHYTA,,PA
PANDORINA,,PD
PERIDINIUM,,PE
PENNATE DIATOM,,PENN
PERIDINIUM,,PEXX
PHACUS,,PH
PINNULARIA,,PI
PROBABLE GREEN PICO PLANKTERS,,PICG
PROBABLE BLUE-GREEN PICO PLANKTERS,,PICO
PINNULARIA,,PIXX
PLANCTONEMA,,PL
PLANCTONEMA lauterbornii,,PLLI
PEDIASTRUM,,PM
PEDIASTRUM boryanum,,PMBM
PEDIASTRUM duplex,,PMDX
PEDIASTRUM tetras,,PMTS
PEDIASTRUM,,PMXX
PSEUDOTETRAEDRON,,PN
POLYBLEPHARIS,,POLY
PSEUDOSTAURASTRUM,,PR
PROTOZOAN,,PROT
PSEUDOSPHAEROCYSTIS,,PS
PSEUDOSPHAEROCYSTIS lacustris,,PSLS
PROTOMONODALES,,PT
PSEUDANABAENA,,PUAA
POLYTOMA (4-flagella),,PY
PAULSCHULZIA,,PZ
QUADRIGULA closterioides,,QACS
QUADRIGULA,,QAXX
RAPHIDONEMA,,RA
RAPHIDONEMA longiseta,,RALA
RAPHIDONEMA,,RAXX
RHABDODERMA,,RB
RHABDODERMA linearis,,RBLS
RADIOCOCCUS,,RD
RHOICOSPHENIA,,RH
ROTIFERS Filinia,,ROFA
ROTIFERS Polyarthra,,ROPA
ROTIFERS Kellicottia,,RORA
ROTIFERS Trichocerca,,ROTA
ROTIFERS Keratella,,ROYA
RHODOMONAS,,RS
RHODOMONAS minuta,,RSM
RHODOMONAS minuta,var. nanoplanctica,RSMN
RHIZOSOLENIA,,RZ
SYNEDRA,,SA
SYNEDRA acus,,SAAS
SYNEDRA,,SAFA
SYNEDRA large,,SALG
SYNEDRA ulna,,SAUA
SYNEDRA ulna var danica,,SAVD
SYNEDRA,,SAXX
STAURODESMUS,,SB
STAURODESMUS aversus,,SBAV
STAURODESMUS convergens,,SBCV
STAURODESMUS dejectum,,SBDJ
STAURODESMUS indentatus,,SBIS
STAURODESMUS megacanthus,,SBMS
STAURODESMUS subulatus,,SBSS
STAURODESMUS triangularis,var. parallelus,SBTP
SYNECHOCOCCUS capitatus,,SCCS
SYNECHOCOCCUS minutus,,SCMS
SYNECHOCOCCUS,,SCS
SYNECHOCOCCUS capitatus,,SCSN
SCHRODERIA,,SD
SCHRODERIA setigera,,SDSA
SCHRODERIA spiralis,,SDSS
STEPHANOCODON,,SF
SPIROGYRA,,SG
STICHOCOCCUS,,SH
STICHOCOCCUS bacillaris,,SHBS
SPHAEROCYSTIS,,SI
SPHAEROCYSTIS schroeter,,SISI
PLANKTOSPHAERIA,,SIX
SELENASTRUM,,SL
STAURASTRUM,,SM
STAURASTRUM 'armless' form,,SM2
STAURASTRUM cingulum,,SMCM
STAURASTRUM chaetoceras,,SMCS
STAURASTRUM grande,,SMGE
STAURASTRUM inflex,,SMIX
STAURASTRUM longispinum,,SMLG
STAURASTRUM lunatum,,SMLM
STAURASTRUM longipes,,SMLS
STAURASTRUM megacanthus,,SMMG
STAURASTRUM muticum,,SMMM
STAURASTRUM pingue,,SMPG
STAURASTRUM planktonicum,,SMPM
STAURASTRUM polymorphum,,SMPO
STAURASTRUM pseudopelagicum,,SMPP
STAURASTRUM punctulatum,,SMPU
STAURASTRUM polytrichum,,SMPY
STEINIELLA,,SN
STEINIELLA,,SNC
SPONDYLOSIUM,,SP
SPONDYLOSIUM planum,,SPPM
SURIRELLA,,SR
SCENEDESMUS,,SS
SCENEDESMUS 6 spines,,SS6
SCENEDESMUS abundans,,SSAB
SCENEDESMUS acutus,,SSAC
SCENEDESMUS acuminatus,,SSAS
SCENEDESMUS 'brasiliensis',,SSBS
SCENEDESMUS diagonal form,,SSDL
SCENEDESMUS dimorphus,,SSDS
SCENEDESMUS ecornis,,SSEC
SCENEDESMUS disciformis,,SSFS
SCENEDESMUS 2-cell,,SSII
SCENEDESMUS no spine,,SSNE
SCENEDESMUS alternans,,SSNS
SCENEDESMUS pannonicus,,SSPS
SCENEDESMUS quadricauda,,SSQA
SCENEDESMUS arcuatus,,SSRQ
SCENEDESMUS serratus,,SSSS
SCENEDESMUS subspicatus,,SSSU
SCENEDESMUS tenuispina,,SSTA
SCENEDESMUS verrucosus,,SSVS
SCENEDESMUS,,SSXX
STEPHANODISCUS,,ST
SYNCRYPTA,,SYC
SYNURA,,SYU
TABELLARIA,,TA
TABELLARIA fenestrata,,TAFA
TABELLARIA flocculosa,,TAFC
TETRASPORA,,TB
TETRACHLORELLA,,TC
TETRACHLORELLA alternans,,TCAS
TETRAEDRIELLA,,TD
TETRAEDRON,,TE
TETRAEDRON caudatum,,TECM
TETRAEDRON incus,,TEIS
TETRAEDRON minimum,,TEMM
TETRAEDRON platyisthmum,,TEPM
TETRASPORA,,TG
TRACHELOMONAS,,TL
TRACHELOMONAS volvocina,,TLVA
TETRASTRUM,,TM
TETRASTRUM glabrum,,TMGM
TETRASTRUM punctatum,,TMPM
TETRASTRUM staurogenaeiforme,,TMSE
TINTINNOPSIS,,TN
TREUBARIA,,TR
TREUBARIA triappendiculata,,TRAA
TRACHYDISCUS,,TS
TETRAMORUS,,TT
UROGLENA,,UA
CHLORELLA,,UG
CHLORELLA,,UGC
CHLORELLA,,UGXX
ULOTHRIX,,UX
VORTICELLA,,VA
VOLVOCALES,,VO
VOLVOX,,VX
WESTELLA,,WA
XANTHIDIUM,,XM
XANTHIDIUM antilopeum,,XMAM
XANTHIDIUM cristatum,,XMCM
COLONIAL CHRYSOPHYCEAE,,YGC
CHROMULINA,,YGF1
CHRYSOCHROMULINA,,YGF3
YELLOW-GREEN FLAGELLATE,,YGF4
NON-FLAGELLATE UNICELL CHRYSOPHYTE,,YGU
ZOOSPORES,,ZSP
