Date,Loch Level m asl,,
6/7/1983,106.92,,
21/7/1983,106.83,,
10/8/1983,106.77,,
31/8/1983,106.63,,
17/9/1983,106.62,,
27/9/1983,106.59,,
20/10/1983,106.98,,
4/11/1983,106.80,,
10/11/1983,106.70,,
23/11/1983,106.50,,
1/12/1983,106.50,,
19/12/1983,106.62,,
16/2/1984,,,
7/3/1984,,,
17/12/1984,,,
6/1/1986,,,
14/1/1986,,,
22/1/1986,,,
30/1/1986,,,
7/2/1986,,,
6/3/1986,,,
7/4/1986,,,
13/1/1988,,,
21/1/1988,,,
29/1/1988,,,
6/2/1988,,,
12/2/1988,,,
22/2/1988,,,
25/2/1988,,,
1/3/1988,,,
9/3/1988,,,
17/3/1988,,,
25/3/1988,,,
2/4/1988,,,
10/4/1988,,,
18/4/1988,,,
26/4/1988,,,
4/5/1988,,,
12/5/1988,,,
20/5/1988,,,
28/5/1988,,,
5/6/1988,,,
13/6/1988,,,
21/6/1988,,,
29/6/1988,,,
7/7/1988,,,
15/7/1988,,,
23/7/1988,,,
31/7/1988,,,
8/8/1988,,,
16/8/1988,,,
24/8/1988,,,
9/9/1988,,,
3/10/1988,,,
11/10/1988,,,
19/10/1988,,,
27/10/1988,,,
4/11/1988,,,
12/11/1988,,,
20/11/1988,,,
6/12/1988,,,
14/12/1988,,,
15/1/1989,,,
23/1/1989,,,
31/1/1989,,,
3/2/1989,,,
8/2/1989,,,
16/2/1989,,,
24/2/1989,,,
4/3/1989,,,
12/3/1989,,,
13/3/1989,,,
20/3/1989,,,
28/3/1989,,,
5/4/1989,,,
13/4/1989,,,
21/4/1989,,,
29/4/1989,,,
7/5/1989,,,
15/5/1989,,,
23/5/1989,,,
31/5/1989,,,
8/6/1989,,,
16/6/1989,,,
24/6/1989,,,
2/7/1989,,,
10/7/1989,,,
18/7/1989,,,
26/7/1989,,,
3/8/1989,,,
11/8/1989,,,
19/8/1989,,,
27/8/1989,,,
4/9/1989,,,
12/9/1989,,,
20/9/1989,,,
28/9/1989,,,
6/10/1989,,,
14/10/1989,,,
22/10/1989,,,
30/10/1989,,,
7/11/1989,,,
15/11/1989,,,
23/11/1989,,,
1/12/1989,,,
9/12/1989,,,
17/12/1989,,,
25/12/1989,,,
2/1/1990,,,
10/1/1990,,,
18/1/1990,,,
26/1/1990,,,
28/1/1990,,,
3/2/1990,,,
11/2/1990,,,
19/2/1990,,,
27/2/1990,,,
7/3/1990,,,
15/3/1990,,,
23/3/1990,,,
26/3/1990,,,
29/3/1990,,,
31/3/1990,,,
4/4/1990,,,
8/4/1990,,,
11/4/1990,,,
14/4/1990,,,
16/4/1990,,,
23/4/1990,,,
24/4/1990,,,
29/4/1990,,,
1/5/1990,,,
2/5/1990,,,
3/5/1990,,,
10/5/1990,,,
11/5/1990,,,
18/5/1990,,,
21/5/1990,,,
26/5/1990,,,
28/5/1990,,,
3/6/1990,,,
11/6/1990,,,
19/6/1990,,,
27/6/1990,,,
2/7/1990,,,
5/7/1990,,,
8/7/1990,,,
13/7/1990,,,
15/7/1990,,,
21/7/1990,,,
22/7/1990,,,
25/7/1990,,,
29/7/1990,,,
31/7/1990,,,
6/8/1990,,,
14/8/1990,,,
22/8/1990,,,
30/8/1990,,,
7/9/1990,,,
10/9/1990,,,
14/9/1990,,,
23/9/1990,,,
1/10/1990,,,
9/10/1990,,,
17/10/1990,,,
25/10/1990,,,
2/11/1990,,,
10/11/1990,,,
18/11/1990,,,
26/11/1990,,,
4/12/1990,,,
12/12/1990,,,
20/12/1990,,,
28/12/1990,,,
8/3/1991,,,
19/3/1991,,,
31/3/1991,,,
11/4/1991,,,
24/4/1991,,,
6/5/1991,,,
16/5/1991,,,
29/5/1991,,,
7/6/1991,,,
19/6/1991,,,
27/6/1991,,,
9/7/1991,,,
18/7/1991,,,
29/7/1991,,,
8/8/1991,,,
20/8/1991,,,
30/8/1991,,,
19/9/1991,,,
1/10/1991,,,
22/10/1991,,,
5/11/1991,,,
18/11/1991,,,
28/11/1991,,,
9/1/1992,,,
6/2/1992,,,
11/2/1992,,,
12/2/1992,,,
28/2/1992,,,
29/2/1992,,,
12/3/1992,,,
26/3/1992,,,
14/4/1992,,,
22/4/1992,,,
23/4/1992,,,
24/4/1992,,,
4/5/1992,,,
14/5/1992,,,
15/6/1992,,,
16/6/1992,,,
2/7/1992,,,
9/7/1992,,,
16/7/1992,,,
24/7/1992,,,
29/7/1992,,,
7/8/1992,,,
12/8/1992,,,
19/8/1992,,,
27/8/1992,,,
2/9/1992,,,
9/9/1992,,,
17/9/1992,,,
23/9/1992,,,
30/9/1992,,,
7/10/1992,,,
13/10/1992,,,
21/10/1992,,,
30/10/1992,,,
31/10/1992,,,
4/11/1992,,,
12/11/1992,,,
20/11/1992,,,
26/11/1992,,,
3/12/1992,,,
8/12/1992,,,
15/12/1992,,,
22/12/1992,,,
