Date,Site,Measure,Value,Units,Instrument,FileName,TabName
1/5/2012,Reed Bower,DO,10.67,mg/L,Hach HQ30d,Datasheets_2012,01.05.12
1/5/2012,Reed Bower,DO,93.1,%,Hach HQ30d,Datasheets_2012,01.05.12
15/5/2012,Reed Bower,DO,10.46,mg/L,Hach HQ30d,Datasheets_2012,15.05.12
15/5/2012,Reed Bower,DO,94.5,%,Hach HQ30d,Datasheets_2012,15.05.12
29/5/2012,Reed Bower,DO,9.8,mg/L,Hach HQ30d,Datasheets_2012,29.05.12
29/5/2012,Reed Bower,DO,101.9,%,Hach HQ30d,Datasheets_2012,29.05.12
25/6/2012,Reed Bower,DO,10.63,mg/L,Hach HQ30d,Datasheets_2012,25.06.12
25/6/2012,Reed Bower,DO,110.4,%,Hach HQ30d,Datasheets_2012,25.06.12
10/7/2012,Reed Bower,DO,8.79,mg/L,Hach HQ30d,Datasheets_2012,10.07.12
10/7/2012,Reed Bower,DO,91.4,%,Hach HQ30d,Datasheets_2012,10.07.12
24/7/2012,Reed Bower,DO,10.29,mg/L,Hach HQ30d,Datasheets_2012,24.07.12
24/7/2012,Reed Bower,DO,109.1,%,Hach HQ30d,Datasheets_2012,24.07.12
7/8/2012,Reed Bower,DO,9.96,mg/L,Hach HQ30d,Datasheets_2012,07.08.12
7/8/2012,Reed Bower,DO,106.9,%,Hach HQ30d,Datasheets_2012,07.08.12
21/8/2012,Reed Bower,DO,10.69,mg/L,Hach HQ30d,Datasheets_2012,21.08.12
21/8/2012,Reed Bower,DO,114.5,%,Hach HQ30d,Datasheets_2012,21.08.12
4/9/2012,Reed Bower,DO,10.76,mg/L,Hach HQ30d,Datasheets_2012,04.09.12
4/9/2012,Reed Bower,DO,109.5,%,Hach HQ30d,Datasheets_2012,04.09.12
18/9/2012,Reed Bower,DO,10.64,mg/L,Hach HQ30d,Datasheets_2012,18.09.12
18/9/2012,Reed Bower,DO,101.1,%,Hach HQ30d,Datasheets_2012,18.09.12
2/10/2012,Reed Bower,DO,10.75,mg/L,Hach HQ30d,Datasheets_2012,02.10.12
2/10/2012,Reed Bower,DO,100.4,%,Hach HQ30d,Datasheets_2012,02.10.12
16/10/2012,Reed Bower,DO,10.97,mg/L,Hach HQ30d,Datasheets_2012,16.10.12
16/10/2012,Reed Bower,DO,94.5,%,Hach HQ30d,Datasheets_2012,16.10.12
1/11/2012,Reed Bower,DO,11.05,mg/L,Hach HQ30d,Datasheets_2012,01.11.12
1/11/2012,Reed Bower,DO,96.6,%,Hach HQ30d,Datasheets_2012,01.11.12
13/11/2012,Reed Bower,DO,11.69,mg/L,Hach HQ30d,Datasheets_2012,13.11.12
13/11/2012,Reed Bower,DO,98.2,%,Hach HQ30d,Datasheets_2012,13.11.12
27/11/2012,Reed Bower,DO,12.1,mg/L,Hach HQ30d,Datasheets_2012,27.11.12
27/11/2012,Reed Bower,DO,96.9,%,Hach HQ30d,Datasheets_2012,27.11.12
8/1/2013,Reed Bower,DO,12.11,mg/L,Hach HQ30d,Datasheets_2013,08.01.13
8/1/2013,Reed Bower,DO,98.1,%,Hach HQ30d,Datasheets_2013,08.01.13
24/1/2013,Reed Bower,DO,13.63,mg/L,Hach HQ30d,Datasheets_2013,24.01.13
24/1/2013,Reed Bower,DO,96.4,%,Hach HQ30d,Datasheets_2013,24.01.13
5/2/2013,Reed Bower,DO,12.62,mg/L,Hach HQ30d,Datasheets_2013,05.02.13
5/2/2013,Reed Bower,DO,96.6,%,Hach HQ30d,Datasheets_2013,05.02.13
5/3/2013,Reed Bower,DO,13.82,mg/L,Hach HQ30d,Datasheets_2013,05.03.13
5/3/2013,Reed Bower,DO,107.6,%,Hach HQ30d,Datasheets_2013,05.03.13
26/3/2013,Reed Bower,DO,12.95,mg/L,Hach HQ30d,Datasheets_2013,26.03.13
26/3/2013,Reed Bower,DO,96.1,%,Hach HQ30d,Datasheets_2013,26.03.13
2/4/2013,Reed Bower,DO,13.69,mg/L,Hach HQ30d,Datasheets_2013,02.04.13
2/4/2013,Reed Bower,DO,103.2,%,Hach HQ30d,Datasheets_2013,02.04.13
30/4/2013,Reed Bower,DO,10.66,mg/L,Hach HQ30d,Datasheets_2013,30.04.13
30/4/2013,Reed Bower,DO,98.4,%,Hach HQ30d,Datasheets_2013,30.04.13
14/5/2013,Reed Bower,DO,10.38,mg/L,Hach HQ30d,Datasheets_2013,14.05.13
14/5/2013,Reed Bower,DO,94.7,%,Hach HQ30d,Datasheets_2013,14.05.13
28/5/2013,Reed Bower,DO,10.17,mg/L,Hach HQ30d,Datasheets_2013,28.05.13
28/5/2013,Reed Bower,DO,97.5,%,Hach HQ30d,Datasheets_2013,28.05.13
11/6/2013,Reed Bower,DO,9.15,mg/L,Hach HQ30d,Datasheets_2013,11.06.13
11/6/2013,Reed Bower,DO,96,%,Hach HQ30d,Datasheets_2013,11.06.13
25/6/2013,Reed Bower,DO,9.3,mg/L,Hach HQ30d,Datasheets_2013,25.06.13
25/6/2013,Reed Bower,DO,95.9,%,Hach HQ30d,Datasheets_2013,25.06.13
9/7/2013,Reed Bower,DO,11.59,mg/L,Hach HQ30d,Datasheets_2013,09.07.13
9/7/2013,Reed Bower,DO,130.4,%,Hach HQ30d,Datasheets_2013,09.07.13
26/7/2013,Reed Bower,DO,9.94,mg/L,Hach HQ30d,Datasheets_2013,26.07.13
26/7/2013,Reed Bower,DO,111.5,%,Hach HQ30d,Datasheets_2013,26.07.13
6/8/2013,Reed Bower,DO,9.94,mg/L,Hach HQ30d,Datasheets_2013,06.08.13
6/8/2013,Reed Bower,DO,106.48,%,Hach HQ30d,Datasheets_2013,06.08.13
20/8/2013,Reed Bower,DO,9.48,mg/L,Hach HQ30d,Datasheets_2013,20.08.13
20/8/2013,Reed Bower,DO,98.3,%,Hach HQ30d,Datasheets_2013,20.08.13
3/9/2013,Reed Bower,DO,9.13,mg/L,Hach HQ30d,Datasheets_2013,03.09.13
3/9/2013,Reed Bower,DO,92.8,%,Hach HQ30d,Datasheets_2013,03.09.13
1/10/2013,Reed Bower,DO,10.03,mg/L,Hach HQ30d,Datasheets_2013,01.10.13
1/10/2013,Reed Bower,DO,95.1,%,Hach HQ30d,Datasheets_2013,01.10.13
15/10/2013,Reed Bower,DO,10.4,mg/L,Hach HQ30d,Datasheets_2013,15.10.13
15/10/2013,Reed Bower,DO,93.7,%,Hach HQ30d,Datasheets_2013,15.10.13
29/10/2013,Reed Bower,DO,9.81,mg/L,Hach HQ30d,Datasheets_2013,29.10.13
29/10/2013,Reed Bower,DO,88.1,%,Hach HQ30d,Datasheets_2013,29.10.13
19/8/2014,Reed Bower,DO,9.8,mg/L,Hach HQ30d,Datasheets_2014,19.08.14
19/8/2014,Reed Bower,DO,96.5,%,Hach HQ30d,Datasheets_2014,19.08.14
2/9/2014,Reed Bower,DO,9.76,mg/L,Hach HQ30d,Datasheets_2014,02.09.14
2/9/2014,Reed Bower,DO,96.1,%,Hach HQ30d,Datasheets_2014,02.09.14
16/9/2014,Reed Bower,DO,9.65,mg/L,Hach HQ30d,Datasheets_2014,16.09.14
16/9/2014,Reed Bower,DO,96.5,%,Hach HQ30d,Datasheets_2014,16.09.14
